IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
090C,Malnutrition-related diabetes mellitus(E12),51,98,32,0,181,2011
090E,Unspecified diabetes mellitus(E14),4068,7435,2590,21,14272,2011
090A,Insulin-dependent diabetes mellitus(E10),2157,3364,1367,23,7074,2012
090B,Non-insulin-dependent diabetes mellitus(E11),3099,6136,1889,8,11243,2012
090C,Malnutrition-related diabetes mellitus(E12),52,67,26,0,148,2012
090D,Other specified diabetes mellitus(E13),376,552,150,1,1097,2012
090E,Unspecified diabetes mellitus(E14),4507,8431,2793,43,15961,2012
090B,Non-insulin-dependent diabetes mellitus(E11),3691,6115,2185,30,12141,2013
090C,Malnutrition-related diabetes mellitus(E12),141,254,181,7,590,2013
090E,Unspecified diabetes mellitus(E14),4737,8827,3212,27,16979,2013
125,Essential hypertension (I10),7050,15493,8942,518,32003,2004
126,Hypertensive heart disease (I11),621,1324,667,112,2724,2004
127,Other hypertensive diseases (I12-I15),730,982,482,249,2443,2004
128,"Acute myocardial infarction (I21,I22)",2248,4585,1775,224,8832,2004
129,"Other ischaemic heart disease  (I20,I23-I25)",5839,12934,6552,376,25701,2004
130,Pulmonary embolism (I26),81,173,144,32,430,2004
131,Cor pulmonale (I27.9),84,476,291,13,864,2004
132,Heart failure (I50),546,2323,2031,135,5035,2004
134,Cerebroavascular disease (I60-I69),1435,5107,4199,119,10860,2004
135,Atherosclerosis (I70),39,99,51,23,212,2004
136,Arterial embolism and thrombosis (I74),42,63,59,16,180,2004
137,"Other diseases of arteries, artherosclerosis and capillaries",198,248,134,24,604,2004
125,Essential hypertension (I10),7646,18114,10847,204,36811,2014
126,Hypertensive heart disease (I11),588,1164,624,14,2394,2014
127,Other hypertensive diseases (I12-I15),616,856,417,26,1933,2014
128,"Acute myocardial infarction (I21,I22)",4009,10823,4234,41,19136,2014
129,"Other ischaemic heart disease  (I20,I23-I25)",7208,20537,9755,56,37656,2014
130,Pulmonary embolism (I26),37,71,48,0,157,2014
131,Cor pulmonale (I27.9),76,315,302,0,697,2014
132,Heart failure (I50),839,3961,2886,12,7766,2014
134,Cerebroavascular disease (I60-I69),2880,11856,8303,79,23221,2014
135,Atherosclerosis (I70),34,64,35,0,134,2014
136,Arterial embolism and thrombosis (I74),74,73,13,0,164,2014
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",292,745,297,0,1345,2014
125,Essential hypertension (I10),7323.9999999999918,17765.99999999996,10659.000000000002,146.00000000000045,35894.999999999971,2015
126,Hypertensive heart disease (I11),638,1420.0000000000005,618,9,2688.0000000000005,2015
127,Other hypertensive diseases (I12-I15),542.9999999999992,782.99999999999955,361.00000000000028,8.0000000000000124,1713.9999999999989,2015
128,"Acute myocardial infarction (I21,I22)",4389.0000000000036,12227.000000000011,4839.9999999999945,35,21517.000000000004,2015
129,"Other ischaemic heart disease  (I20,I23-I25)",7074.0000000000027,20279.999999999942,9528.0000000000036,26.000000000000014,37027.000000000029,2015
130,Pulmonary embolism (I26),25,35,21,0,81.999999999999915,2015
131,Cor pulmonale (I27.9),46,336.00000000000006,287.00000000000006,2,675.00000000000045,2015
132,Heart failure (I50),894.00000000000239,4167.0000000000018,3067.0000000000045,9,8185.9999999999955,2015
134,Cerebroavascular disease (I60-I69),3143.0000000000036,12409.999999999969,8893.9999999999818,71.000000000000114,24619.000000000044,2015
135,Atherosclerosis (I70),33.000000000000064,54,28,0,115.99999999999987,2015
136,Arterial embolism and thrombosis (I74),33.000000000000014,42.999999999999915,6.0000000000000018,0,83.999999999999943,2015
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",278.99999999999989,715.00000000000125,304.00000000000068,0,1309.9999999999984,2015
125,Essential hypertension (I10),7527.0000000000164,18090.000000000007,10804.000000000022,149.00000000000031,36659.999999999935,2016
126,Hypertensive heart disease (I11),558.00000000000011,1106.0000000000009,517.9999999999992,12,2199.9999999999982,2016
127,Other hypertensive diseases (I12-I15),264,750.99999999999898,333.0000000000004,19,1374.0000000000025,2016
128,"Acute myocardial infarction (I21,I22)",4380.0000000000018,13208.000000000005,5295.0000000000027,21.000000000000028,22934,2016
129,"Other ischaemic heart disease  (I20,I23-I25)",7337.9999999999982,20497.000000000022,10038.000000000007,12.000000000000002,37969.999999999993,2016
130,Pulmonary embolism (I26),48,68.999999999999886,36.000000000000014,1.0000000000000011,158.00000000000006,2016
131,Cor pulmonale (I27.9),37.000000000000021,284.00000000000023,210.9999999999998,0,533.00000000000034,2016
132,Heart failure (I50),873.00000000000023,3912.0000000000014,2942.0000000000005,10.000000000000023,7793.0000000000073,2016
134,Cerebroavascular disease (I60-I69),3306.0000000000023,13523.999999999998,9669.99999999998,62.999999999999936,26670.000000000011,2016
135,Atherosclerosis (I70),64.000000000000028,76.000000000000028,25.00000000000005,0,165.99999999999991,2016
136,Arterial embolism and thrombosis (I74),28,33.000000000000071,12,0,74.000000000000099,2016
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",312.00000000000023,878.00000000000057,403.00000000000074,0,1615.9999999999973,2016
125,Essential hypertension (I10),7235.0000000000018,16961.000000000025,10322.000000000004,79.000000000000114,34705.000000000036,2017
126,Hypertensive heart disease (I11),516.00000000000023,997.00000000000068,546.00000000000034,12,2075.9999999999982,2017
127,Other hypertensive diseases (I12-I15),166.00000000000014,432.00000000000006,193.99999999999977,14.000000000000002,815,2017
128,"Acute myocardial infarction (I21,I22)",4741.9999999999955,13945.999999999973,5673.9999999999991,22.000000000000004,24406.999999999989,2017
129,"Other ischaemic heart disease  (I20,I23-I25)",7278.9999999999927,20238.999999999993,9852.00000000002,20.000000000000018,37480.000000000007,2017
130,Pulmonary embolism (I26),45.000000000000099,41.000000000000014,22.000000000000004,5.0000000000000044,113.00000000000018,2017
131,Cor pulmonale (I27.9),52.00000000000005,256.00000000000006,199.00000000000009,1.0000000000000024,510.99999999999966,2017
132,Heart failure (I50),858.99999999999955,3988.9999999999964,2833.0000000000027,3,7740.9999999999964,2017
134,Cerebroavascular disease (I60-I69),3417.9999999999986,14176.000000000013,10163.999999999991,68.000000000000227,27922.00000000004,2017
135,Atherosclerosis (I70),46.000000000000021,80,31,0,163.00000000000006,2017
136,Arterial embolism and thrombosis (I74),18.000000000000039,41.000000000000021,10,0,68.999999999999886,2017
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",373.00000000000097,776.00000000000136,319,0,1491.9999999999989,2017
125,Essential hypertension (I10),7405.9999999999991,18154.999999999971,11037.000000000016,71,36803.999999999927,2018
126,Hypertensive heart disease (I11),773.00000000000057,1357.999999999998,653,4.0000000000000098,2795.9999999999973,2018
