IMMR_code,Disease,live_f_17-49,live_f_50-69,live_f_70+,live_f_NA,live_f_Total,year
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",606,1841.000000000002,352.00000000000011,0,2863.9999999999964,2015
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),96.999999999999744,289.99999999999966,104.99999999999989,0,524,2015
056,Malignant neoplasm of pancreas (C25),68.000000000000014,126.99999999999993,62,0,260.99999999999989,2015
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",77.000000000000071,182.00000000000006,53.999999999999872,0,329.99999999999983,2015
058,Malignant neoplasm of larnyx (C32),87.000000000000028,121.9999999999999,46,0,271.00000000000034,2015
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",407.9999999999992,1062.9999999999991,272.00000000000006,0,1760.9999999999982,2015
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",64,115.99999999999991,30,0,225.9999999999998,2015
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",153,130.00000000000011,21.000000000000004,0,608.00000000000057,2015
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",90.000000000000043,186,90.000000000000085,0,384.99999999999989,2015
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",274.99999999999989,297.00000000000017,76.000000000000099,0,811,2015
064,Malignant neoplasm of breast (C50),5144.0000000000036,8408.9999999999873,1165.9999999999991,0,14769.999999999991,2015
065,Malignant neoplasm of cervix uteri (C53),994.9999999999992,2689.0000000000005,544.00000000000034,1,4240.0000000000045,2015
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",456,1421.9999999999986,247.00000000000063,0,2136.9999999999991,2015
067,Malignant neoplasm of placenta (C58),144.99999999999986,33.000000000000071,7.0000000000000044,0,186.00000000000051,2015
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2604.9999999999982,4650.9999999999882,938.00000000000148,0,8374.9999999999909,2015
069,Malignant neoplasm of prostate (C61),0,0,0,0,0,2015
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",0,1.0000000000000016,0,0,1.0000000000000016,2015
071,Malignant neoplasm of bladder (C67),72.000000000000128,261.00000000000074,137.00000000000026,0,472.0000000000008,2015
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",64.000000000000028,133.9999999999996,34,0,363.00000000000017,2015
073,Malignant neoplasm of eye and adnexa (C69),20,19.000000000000014,2.0000000000000031,0,264.00000000000028,2015
074,Malignant neoplasm of brain(C71),230.00000000000037,210.00000000000028,67.000000000000071,0,685.00000000000148,2015
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",43.000000000000057,39.000000000000036,7.0000000000000107,0,92,2015
076,Malignant neoplasm of thyroid gland (C73),747.00000000000023,570.00000000000057,117,1.0000000000000011,1449.0000000000052,2015
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",402.99999999999983,728,236.99999999999983,1.0000000000000011,1552.9999999999961,2015
078,Hodgkin's disease (C81),251.99999999999986,144.00000000000009,22.000000000000025,0,448.99999999999909,2015
079,Leukaemia (C91-C95),987.00000000000034,1170.9999999999964,283.99999999999989,0,4520.0000000000027,2015
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",828.00000000000045,2013.9999999999945,657.99999999999875,0,3643.0000000000009,2015
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",436.99999999999972,918.99999999999898,349.99999999999972,0,1761.0000000000009,2016
051,Malaignant neoplasm of oesophagus (C15),222.99999999999986,1460.0000000000025,678.00000000000125,0,2372.0000000000018,2016
052,Malignant neoplasm of stomach (C16),103.9999999999998,285.99999999999989,91.000000000000043,0,485.00000000000006,2016
053,Malignant neoplasm of colon (C18),780.0000000000025,1894.9999999999975,393.99999999999966,1.0000000000000031,3077.9999999999955,2016
