IMMR_code,Disease,live_f_17-49,live_f_50-69,live_f_70+,live_f_NA,live_f_Total,year
090E,Unspecified diabetes mellitus(E14),4932,9755,3315,34,18232,2010
090B,Non-insulin-dependent diabetes mellitus(E11),3348,6905,2253,10,12618,2011
090C,Malnutrition-related diabetes mellitus(E12),93,138,65,3,307,2011
090E,Unspecified diabetes mellitus(E14),4183,9199,3389,11,16939,2011
090A,Insulin-dependent diabetes mellitus(E10),2148,4107,1451,40,7922,2012
090B,Non-insulin-dependent diabetes mellitus(E11),3533,7609,2384,8,13654,2012
090C,Malnutrition-related diabetes mellitus(E12),77,182,69,5,350,2012
090D,Other specified diabetes mellitus(E13),470,708,204,1,1411,2012
090E,Unspecified diabetes mellitus(E14),4590,10912,3638,58,19365,2012
090B,Non-insulin-dependent diabetes mellitus(E11),4050,7531,2514,47,14248,2013
090C,Malnutrition-related diabetes mellitus(E12),157,261,123,71,623,2013
090E,Unspecified diabetes mellitus(E14),5020,10769,3528,14,19570,2013
