IMMR_code,Disease,live_17-49,live_50-69,live_70+,live_NA,live_Total,year
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1507,3873,1277,2,6750,2011
051,Malaignant neoplasm of oesophagus (C15),652,2733,925,1,4324,2011
052,Malignant neoplasm of stomach (C16),209,814,201,1,1237,2011
053,Malignant neoplasm of colon (C18),892,2043,358,0,3313,2011
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",851,2311,688,1,3860,2011
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),163,553,229,0,1096,2011
056,Malignant neoplasm of pancreas (C25),186,307,70,0,577,2011
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",116,235,98,1,453,2011
058,Malignant neoplasm of larnyx (C32),139,625,172,2,952,2011
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",805,2951,794,2,4590,2011
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",101,126,40,0,271,2011
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",427,235,66,2,1044,2011
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",147,269,113,2,546,2011
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",420,371,82,0,1061,2011
064,Malignant neoplasm of breast (C50),3854,6070,779,4,10730,2011
065,Malignant neoplasm of cervix uteri (C53),879,2128,463,3,3478,2011
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",221,983,192,0,1416,2011
067,Malignant neoplasm of placenta (C58),148,29,5,0,182,2011
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",1762,3347,545,3,5724,2011
069,Malignant neoplasm of prostate (C61),29,845,904,1,1784,2011
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",260,192,80,8,574,2011
071,Malignant neoplasm of bladder (C67),176,1039,555,5,1782,2011
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",133,254,80,0,759,2011
073,Malignant neoplasm of eye and adnexa (C69),13,10,10,0,381,2011
074,Malignant neoplasm of brain(C71),442,311,63,1,1101,2011
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",50,43,13,1,160,2011
076,Malignant neoplasm of thyroid gland (C73),796,578,158,0,1565,2011
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",557,1232,373,1,2483,2011
078,Hodgkin's disease (C81),665,309,92,1,1152,2011
079,Leukaemia (C91-C95),1486,891,359,1,5583,2011
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1555,2687,863,1,5430,2011
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1706,4423,1258,9,7564,2012
051,Malaignant neoplasm of oesophagus (C15),628,2695,1078,4,4427,2012
052,Malignant neoplasm of stomach (C16),201,808,178,1,1201,2012
053,Malignant neoplasm of colon (C18),988,2121,421,2,3542,2012
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",901,2611,681,1,4204,2012
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),147,535,249,2,1017,2012
056,Malignant neoplasm of pancreas (C25),116,256,55,1,436,2012
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",107,277,82,0,471,2012
058,Malignant neoplasm of larnyx (C32),171,672,208,0,1057,2012
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",828,3082,815,1,4743,2012
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",111,94,35,0,249,2012
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",428,164,56,2,993,2012
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",157,235,103,0,508,2012
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",560,416,108,0,1363,2012
064,Malignant neoplasm of breast (C50),4582,6816,883,11,12308,2012
065,Malignant neoplasm of cervix uteri (C53),812,2110,462,2,3387,2012
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",241,1056,262,2,1564,2012
067,Malignant neoplasm of placenta (C58),145,46,5,0,196,2012
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",1708,3644,643,3,6056,2012
069,Malignant neoplasm of prostate (C61),54,728,707,1,1493,2012
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",212,216,68,2,507,2012
071,Malignant neoplasm of bladder (C67),203,1142,639,5,1992,2012
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",138,343,123,0,800,2012
073,Malignant neoplasm of eye and adnexa (C69),26,19,11,0,305,2012
074,Malignant neoplasm of brain(C71),475,324,58,2,1158,2012
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",31,30,8,0,73,2012
076,Malignant neoplasm of thyroid gland (C73),735,620,148,0,1530,2012
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",548,1136,347,3,2354,2012
078,Hodgkin's disease (C81),539,323,70,2,1083,2012
079,Leukaemia (C91-C95),1360,959,405,4,5781,2012
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1286,3036,855,11,5447,2012
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1635,4469,1182,2,7364,2013
051,Malaignant neoplasm of oesophagus (C15),535,2823,1073,3,4445,2013
052,Malignant neoplasm of stomach (C16),230,722,194,1,1155,2013
053,Malignant neoplasm of colon (C18),781,2304,472,0,3561,2013
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",1016,2610,734,1,4369,2013
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),112,601,208,0,1020,2013
056,Malignant neoplasm of pancreas (C25),155,345,79,1,588,2013
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",126,281,78,0,488,2013
058,Malignant neoplasm of larnyx (C32),216,940,227,0,1402,2013
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",738,3155,893,1,4827,2013
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",167,158,37,0,379,2013
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",439,184,73,2,1120,2013
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",188,470,196,0,881,2013
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",448,439,125,0,1226,2013
064,Malignant neoplasm of breast (C50),4014,6175,1055,0,11254,2013
065,Malignant neoplasm of cervix uteri (C53),790,2023,462,3,3282,2013
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",274,1075,237,1,1592,2013
067,Malignant neoplasm of placenta (C58),132,18,2,0,152,2013
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",1736,3544,631,0,5963,2013
069,Malignant neoplasm of prostate (C61),83,809,855,1,1751,2013
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",191,159,67,1,442,2013
071,Malignant neoplasm of bladder (C67),196,1111,720,0,2042,2013
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",113,311,92,0,702,2013
073,Malignant neoplasm of eye and adnexa (C69),14,35,7,0,334,2013
074,Malignant neoplasm of brain(C71),472,381,91,1,1253,2013
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",40,47,9,1,100,2013
076,Malignant neoplasm of thyroid gland (C73),772,631,146,0,1594,2013
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",520,1207,322,1,2349,2013
078,Hodgkin's disease (C81),594,385,64,1,1133,2013
079,Leukaemia (C91-C95),1464,1180,354,1,6415,2013
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1372,3043,923,0,5668,2013
