IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",493.99999999999966,1706.9999999999986,468.99999999999909,0,2743.0000000000041,2015
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),81,520.00000000000023,189,0,847.99999999999932,2015
056,Malignant neoplasm of pancreas (C25),57.000000000000057,205.00000000000017,55.999999999999879,0,322.00000000000023,2015
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",57,170.99999999999983,73.999999999999943,0,305.99999999999972,2015
058,Malignant neoplasm of larnyx (C32),185,1076.0000000000002,293.00000000000045,0,1568.0000000000011,2015
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",568.00000000000102,3117.000000000005,925.0000000000008,0,4645,2015
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",84.000000000000057,110.00000000000021,28.000000000000021,0,242.00000000000034,2015
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",290.00000000000034,146.99999999999991,52.000000000000107,0,760.00000000000159,2015
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",143.99999999999986,481,163.99999999999972,0,807.00000000000045,2015
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",221.00000000000023,202.00000000000031,71,0,658.99999999999909,2015
064,Malignant neoplasm of breast (C50),117.00000000000011,274,71.000000000000057,0,501.99999999999972,2015
065,Malignant neoplasm of cervix uteri (C53),0,0,0,0,0,2015
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",0,0,0,0,0,2015
067,Malignant neoplasm of placenta (C58),0,0,0,0,0,2015
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",0,0,0,0,0,2015
069,Malignant neoplasm of prostate (C61),73.999999999999915,1026.0000000000002,1100.000000000002,0,2216.9999999999995,2015
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",202.0000000000002,192.00000000000034,48,0,492.9999999999996,2015
