IMMR_code,Disease,live_17-49,live_50-69,live_70+,live_NA,live_Total,year
090B,Non-insulin-dependent diabetes mellitus(E11),4575,8087,2953,143,15839,2004
090C,Malnutrition-related diabetes mellitus(E12),361,462,215,7,1056,2004
090E,Unspecified diabetes mellitus(E14),5016,9246,3312,124,17917,2004
090A,Insulin-dependent diabetes mellitus(E10),4157,6907,2250,45,13684,2014
090B,Non-insulin-dependent diabetes mellitus(E11),7575,14686,4875,110,27479,2014
090C,Malnutrition-related diabetes mellitus(E12),190,302,96,14,620,2014
090D,Other specified diabetes mellitus(E13),843,1042,309,6,2235,2014
090E,Unspecified diabetes mellitus(E14),9041,20769,6495,26,36686,2014
090B,Non-insulin-dependent diabetes mellitus(E11),7684.999999999984,14905.000000000015,4572.999999999998,26.00000000000002,27473.00000000003,2015
090C,Malnutrition-related diabetes mellitus(E12),177.99999999999994,303.9999999999998,83,0,588.9999999999995,2015
090E,Unspecified diabetes mellitus(E14),8751.999999999989,22038.000000000007,6958.9999999999945,18.00000000000001,38155.999999999985,2015
090A,Insulin-dependent diabetes mellitus(E10),3594.999999999999,6351.999999999998,1972.000000000001,4.000000000000012,12231,2016
090B,Non-insulin-dependent diabetes mellitus(E11),7158.000000000004,15099.000000000015,4550,32.00000000000003,27116.000000000004,2016
090C,Malnutrition-related diabetes mellitus(E12),38.00000000000004,52.000000000000114,24.000000000000007,1.0000000000000013,129.00000000000006,2016
090D,Other specified diabetes mellitus(E13),866.0000000000002,952.0000000000014,228.9999999999999,2.0000000000000053,2072.9999999999986,2016
090E,Unspecified diabetes mellitus(E14),10899.999999999995,26104.999999999993,8158,9.000000000000009,45593.99999999993,2016
090B,Non-insulin-dependent diabetes mellitus (E11),6397.999999999997,13310.000000000015,4079.999999999999,29.00000000000002,24074.999999999993,2017
090C,Malnutrition-related diabetes mellitus (E12),18.000000000000025,54.000000000000114,12.00000000000001,0,89.00000000000006,2017
090E,Unspecified diabetes mellitus (E14),10926.999999999995,26269.000000000007,8776.000000000011,19.000000000000025,46447.999999999985,2017
090A,Insulin-dependent diabetes mellitus (E10),3597.999999999997,6653.000000000003,2134.000000000002,4.000000000000012,12760.000000000022,2018
090B,Non-insulin-dependent diabetes mellitus (E11),6850.999999999997,14233.000000000007,4614.000000000002,9.000000000000004,26073.000000000015,2018
090C,Malnutrition-related diabetes mellitus (E12),40,97.99999999999997,41.00000000000007,0,179.99999999999966,2018
090D,Other specified diabetes mellitus (E13),605.0000000000009,624.0000000000008,186.99999999999997,0,1442,2018
090E,Unspecified diabetes mellitus (E14),12196.999999999987,29468,10198.999999999976,14.000000000000004,52362.99999999996,2018
090B,Non-insulin-dependent diabetes mellitus (E11),8321,16866.000000000025,5441.9999999999945,14.000000000000016,31042.999999999978,2019
090C,Malnutrition-related diabetes mellitus (E12),48.00000000000006,118.00000000000007,46.000000000000014,0,213.00000000000045,2019
